"Material übersicht / Sammlung";;;;;;"Für WS";;;;;;;;;;
;;;;;;"Menge";"Summe";;;;"order";;;;;
"Bereich";"Produkt";"url";"Preis";"menge je TN";"preis TN";10TN;281,65 €;"comment 1";"comment 2";"comment 3";"date";"shop";"orig manufacture link";;;
"Power";"INTENSO Powerbank 10000mAh";"https://www.reichelt.de/powerbank-li-po-10000-mah-usb-c-petrol-intenso-7313537-p283039.html?&trstct=vrt_pdn&nbc=1";16,95 €;0;0,00 €;0;0,00 €;"91 mm x 63 mm x 22 mm ";"10000mAh, USB-C, 2,4A";"housing to big";;;;;;
;"INTENSO Powerbank 5000mAh";"https://www.reichelt.de/powerbank-li-po-5000-mah-usb-c-petrol-intenso-7313527-p283036.html";12,80 €;0;0,00 €;0;0,00 €;"90 mm x 63 mm x 12,6 mm ";"5000mAh, USB-C, 2,4A";"housing to big";;;;;;
;"NanoWave 3 5000mAh USB-C";"https://shop.pimoroni.com/products/nanowave-3-5000mah-usb-c-a-power-bank";15,39 €;0;0,00 €;0;0,00 €;"76 mm x 35 mm x 27 mm";"5000mAh, USB-C, 2,4A";;;;;;;
;"Realpower PB-Lipstick";"https://www.smdv.de/products/869639/RealPower-PB-Lipstick-Powerbank-2500-mAh-Li-Ion-Gruen.html";6,90 €;1;6,90 €;10;69,00 €;"93 mm x 22 mm x 22 mm";"2500mAh, microUSB, 1A";;;;;;;
;"Powerbank Sacramento - schwarz";"https://www.highflyers.de/product_info.php/products_id/122606";3,23 €;0;0,00 €;0;0,00 €;"92 mm x 25 mm x 25 mm";"2200mAh, microUSB, 1A, min 22x";;;;;;;
;"Aluminium Powerbank POWERALU - silber matt";"https://www.highflyers.de/product_info.php/products_id/89293";4,58 €;0;0,00 €;0;0,00 €;"95 mm x 21 mm x 21 mm";"2200mAh, microUSB, 1A, min 16x";;;;;;;
;"EnergyQC USB C 5000mAh";"https://www.amazon.de/dp/B0B158K8KK/";18,99 €;0;0,00 €;0;0,00 €;"110 mm x 27 mm x 27 mm";"5000mAh, USB-C, 2,4A";;;;;;;
;"EnergyQC Slim 2 5000mAh";"https://www.amazon.de/dp/B0BNDLT6TB/?th=1";16,99 €;0;0,00 €;0;0,00 €;"105 mm x 27 mm x 29 mm";"5000mAh, microUSB, 2,1A";;;;;;;
;"REALPOWER PB-5000mini";"https://www.mediamarkt.de/de/product/_realpower-pb-5000mini-2472251.html";10,98 €;0;0,00 €;0;0,00 €;"96 mm x 45mm x 23mm";"5000mAh, microUSB, 2,1A";;;;;;;
;"Realpower PB-5000mini";"https://www.amazon.de/dp/B07HRVKZ3G";13,80 €;0;0,00 €;0;0,00 €;"96 mm x 45mm x 23mm";"5000mAh, microUSB, 2,1A";"this seems to be the best in between version..";;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"LEDs";"SK9822 144LEDs/m offen";"https://www.amazon.de/dp/B07BPX2KFD";39,00 €;0;0,00 €;0;0,00 €;"BFT-Lighting bekannter amazon shop";;;;;;;;
;"SK9822 144LEDs/m offen";"https://www.amazon.de/dp/B0BYSHDDWT?th=1";27,50 €;0,25;6,88 €;2,5;68,75 €;"unbekannter amazon shop";;;;;;;;
;"SK9822 144LEDs/m vergossen";"https://www.amazon.de/dp/B0BYSKP1TD?th=1";28,50 €;0;0,00 €;0;0,00 €;"unbekannter amazon shop";;;;;;;;
;"SK9822 144LEDs/m Silikon Hülle";"https://www.amazon.de/dp/B0BYSMJ8QJ";28,50 €;0;0,00 €;0;0,00 €;"unbekannter amazon shop";;;;;;;;
;;;;;;;;;;;;;;;;
"controller";"Adafruit ESP32-S3 TFT reverse";"https://www.adafruit.com/product/5691";29,67 €;0;0,00 €;0;0,00 €;" 4MB Flash 2MB PSRAM";"display, buttons, USB-C";"Einfuhr Ust: 23,75€/Board + 19% = 28,26€/Board + 6€/12Boards = 28,76€";19.04.23;"adafruit.com";;23,8933333333333;5,76833333333333;29,6616666666667
;"Adafruit ESP32-S3 TFT";"https://eckstein-shop.de/Adafruit-ESP32-S3-TFT-Display-Feather-Board-4MB-Flash-2MB-PSRAM-STEMMA-QT";33,00 €;0;0,00 €;0;0,00 €;" 4MB Flash 2MB PSRAM";;;;;;;;
;"FeatherS3 - ESP32-S3 ";"https://www.exp-tech.de/plattformen/esp32/10679/feathers3-esp32-s3-development-board";29,00 €;0;0,00 €;0;0,00 €;"16MB Flash 8MB PSRAM";"not on stock";;;;;;;
;"Adafruit ESP32-S3 Feather 8";"https://www.exp-tech.de/plattformen/esp32/10678/adafruit-esp32-s3-feather-with-stemma-qt/qwiic";17,50 €;0;0,00 €;0;0,00 €;"8MB Flash No PS";"in stock";;;;;;;
;"Adafruit ESP32-S3 Feather 4/2";"https://www.exp-tech.de/plattformen/esp32/11087/adafruit-esp32-s3-feather-with-4mb-flash-2mb-psram";16,50 €;0;0,00 €;0;0,00 €;"4MB Flash 2MB PSRAM";"in stock";;;;;;;
;"ProS3 - ESP32-S3";"https://www.exp-tech.de/plattformen/esp32/10681/pros3-esp32-s3-development-board";32,00 €;0;0,00 €;0;0,00 €;"16MB Flash 8MB PSRAM";;;;;;;;
;"Adafruit QT Py ESP32-S3";"https://www.adafruit.com/product/5426";14,39 €;1;14,39 €;10;143,90 €;"8 MB Flash / No PSRAM";"in stock";;08.05.23;"adafruit.com";"https://www.adafruit.com/product/5426";14,39;0;
;"ESP32-S3-DevKitC-1-N8R8";"https://www.mouser.de/c/?q=ESP32-S3-DevKitC-1-N8R8";14,10 €;0;0,00 €;0;0,00 €;"8MB Flash 8MB PSRAM";;;;;;;;
;"ESP32-S3-DevKitC-1-N32R8V";"https://www.mouser.de/c/?q=ESP32-S3-DevKitC-1-N32R8V";17,00 €;0;0,00 €;0;0,00 €;"32MB Flash 8MB PSRAM";;;;;;;;
;;;;;;;;;;;;;;;;
"accel sensor";"LIS3DH Triple-Axis Accelerometer";"https://www.mouser.de/ProductDetail/485-2809";5,53 €;1;5,53 €;10;55,34 €;"very common part";;;;;;;;
;"MSA301 Triple Axis Accelerometer";"https://eckstein-shop.de/Adafruit-MSA311-Triple-Axis-Accelerometer-STEMMA-QT-Qwiic";6,00 €;0;0,00 €;0;0,00 €;"should work";;;;;;;;
;"BNO085 - 9-DOF Orientation IMU Fusion";"https://learn.adafruit.com/adafruit-9-dof-orientation-imu-fusion-breakout-bno085/python-circuitpython";31,00 €;0;0,00 €;0;0,00 €;"mega nices spielzeug..";;;;;;;;
;;;;;;;;;;;;;;;;
"cable / power";"STEMMA QT JST SH 4-pin Cable - 100mm";"https://eckstein-shop.de/STEMMAQT2FQwiicJSTSH4-pinCable-100mmLongforallSensor2FDriverBoardswithQwiic";1,50 €;0;0,00 €;0;0,00 €;"für sensor..";"kompromiss-variante";;;;;;;
;"STEMMA QT JST SH 4-pin Cable - 300mm";"https://www.mouser.de/ProductDetail/485-5384";1,40 €;1;1,40 €;10;14,04 €;"für sensor..";;;;;;;;
;"usb c - usb c 0.5m";"https://www.reichelt.de/usb-2-0-kabel-c-stecker-auf-c-stecker-0-5-m-efb-usbcusb20ck5-p330175.html?&nbc=1";3,20 €;0;0,00 €;0;0,00 €;"powerbank - board";"half: powerbank - led streifen";;;;;;;
;"usb c - freie enden 0.2m";"https://www.reichelt.de/usb-c-stecker-auf-freie-enden-sw-20-cm-usb-c-awg22-20-p292505.html";2,05 €;0;0,00 €;0;0,00 €;"powerbank - led streifen";;;;;;;;
;"usb c - freie enden 0.5m";"https://www.reichelt.de/usb-c-stecker-auf-freie-enden-sw-50-cm-usb-c-awg22-50-p292506.html?&trstct=vrt_pdn&nbc=1";2,41 €;0;0,00 €;0;0,00 €;"powerbank - led streifen";;;;;;;;
